,idx,lat,lon,location_type,types
5663,112973,40.6668421,-73.7893983,GEOMETRIC_CENTER,['intersection']
5664,112996,40.7460402,-73.9767864,GEOMETRIC_CENTER,['intersection']
5665,113012,40.7379262,-73.7964274,GEOMETRIC_CENTER,['intersection']
5666,113016,40.7368841,-73.9785259,GEOMETRIC_CENTER,['intersection']
5667,113045,40.674343,-73.9706415,GEOMETRIC_CENTER,['intersection']
5668,113062,40.70028250000001,-73.9621711,GEOMETRIC_CENTER,['intersection']
5669,113079,40.7199565,-73.9442461,GEOMETRIC_CENTER,['intersection']
5670,113083,40.8573658,-73.8818926,GEOMETRIC_CENTER,['intersection']
5671,113093,40.613123,-73.989397,GEOMETRIC_CENTER,['intersection']
5672,113102,40.8308829,-73.85346229999999,GEOMETRIC_CENTER,['intersection']
5673,113105,40.7156479,-73.81627569999999,GEOMETRIC_CENTER,['intersection']
5674,113144,40.8644596,-73.81331279999999,GEOMETRIC_CENTER,['intersection']
5675,113153,40.6432996,-73.97417039999999,GEOMETRIC_CENTER,['intersection']
5676,113159,40.766529,-73.9510185,GEOMETRIC_CENTER,['intersection']
5677,113239,40.8785178,-73.8986196,GEOMETRIC_CENTER,['intersection']
5678,113336,40.6744207,-73.8020884,GEOMETRIC_CENTER,['intersection']
5679,113373,40.7585409,-73.9912212,ROOFTOP,['premise']
5680,113379,40.7570868,-74.0050236,GEOMETRIC_CENTER,['intersection']
5681,113388,40.7643218,-73.99871220000001,GEOMETRIC_CENTER,['intersection']
5682,113503,40.8081864,-73.93798249999999,ROOFTOP,['subpremise']
5683,113574,40.7651151,-73.97305279999999,RANGE_INTERPOLATED,['street_address']
5684,113581,40.7993064,-73.94113449999999,GEOMETRIC_CENTER,['intersection']
5685,113618,40.7628342,-73.83327299999999,GEOMETRIC_CENTER,['intersection']
5686,113661,40.85684029999999,-73.88079929999999,GEOMETRIC_CENTER,['intersection']
5687,113696,40.7606943,-73.84599159999999,GEOMETRIC_CENTER,['intersection']
5688,113701,40.7142266,-73.8306008,GEOMETRIC_CENTER,['intersection']
5689,113721,40.8767488,-73.9066319,GEOMETRIC_CENTER,['intersection']
5690,113728,40.8415702,-73.86055189999999,ROOFTOP,"['establishment', 'point_of_interest', 'real_estate_agency']"
5691,113730,40.7674164,-73.9020306,GEOMETRIC_CENTER,['intersection']
5692,113733,40.7558213,-73.9894612,ROOFTOP,['street_address']
5693,113735,40.8559119,-73.79239679999999,GEOMETRIC_CENTER,['intersection']
5694,113741,40.5878273,-73.79563449999999,GEOMETRIC_CENTER,['intersection']
5695,113750,40.6407176,-73.7433452,GEOMETRIC_CENTER,['intersection']
5696,113760,40.6869641,-73.80825519999999,GEOMETRIC_CENTER,['intersection']
5697,113784,40.8406087,-73.8296706,GEOMETRIC_CENTER,['intersection']
5698,113815,40.8339588,-73.86385709999999,GEOMETRIC_CENTER,['intersection']
5699,113821,40.6726424,-73.9704304,GEOMETRIC_CENTER,['intersection']
5700,113849,40.7152344,-74.0149039,ROOFTOP,['street_address']
5701,113850,40.674343,-73.9706415,GEOMETRIC_CENTER,['intersection']
5702,113886,40.737777,-73.9349749,GEOMETRIC_CENTER,['intersection']
5703,113893,40.6067909,-74.0764672,GEOMETRIC_CENTER,['intersection']
5704,113899,40.6449571,-73.9743338,GEOMETRIC_CENTER,['intersection']
5705,113926,40.8573658,-73.8818926,GEOMETRIC_CENTER,['intersection']
5706,113938,40.71864799999999,-73.79552340000001,GEOMETRIC_CENTER,['route']
5707,113956,40.8502708,-73.9006722,GEOMETRIC_CENTER,['intersection']
5708,113979,40.75673159999999,-73.9542239,GEOMETRIC_CENTER,"['establishment', 'point_of_interest']"
5709,114061,40.7603174,-73.73166359999999,GEOMETRIC_CENTER,['intersection']
5710,114097,40.6054764,-74.07668799999999,GEOMETRIC_CENTER,['intersection']
5711,114141,40.7175433,-73.7980765,GEOMETRIC_CENTER,['intersection']
5712,114143,40.8832065,-73.8248756,GEOMETRIC_CENTER,['intersection']
5713,114218,40.6556522,-73.873508,GEOMETRIC_CENTER,['intersection']
5714,114251,40.6828011,-73.80622040000002,GEOMETRIC_CENTER,['intersection']
5715,114265,40.7603174,-73.73166359999999,GEOMETRIC_CENTER,['intersection']
5716,114270,40.8394446,-73.88380959999999,GEOMETRIC_CENTER,['intersection']
5717,114315,40.6668863,-73.9949048,GEOMETRIC_CENTER,['intersection']
5718,114329,40.7640527,-73.9825207,GEOMETRIC_CENTER,['intersection']
5719,114346,40.7619645,-74.0010678,GEOMETRIC_CENTER,['intersection']
5720,114372,40.8979346,-73.8859514,GEOMETRIC_CENTER,"['establishment', 'park', 'point_of_interest']"
5721,114376,40.5748047,-73.9821561,GEOMETRIC_CENTER,['intersection']
5722,114387,40.648108,-73.96879229999999,ROOFTOP,['premise']
5723,114390,40.708413,-73.783834,ROOFTOP,['street_address']
5724,114391,40.6037037,-74.1057907,GEOMETRIC_CENTER,['intersection']
5725,114418,40.7209862,-73.7580813,ROOFTOP,['street_address']
5726,114429,40.7619645,-74.0010678,GEOMETRIC_CENTER,['intersection']
5727,114446,40.76228709999999,-73.98611,GEOMETRIC_CENTER,['intersection']
5728,114466,40.7175433,-73.7980765,GEOMETRIC_CENTER,['intersection']
5729,114489,40.8217387,-73.9396508,ROOFTOP,['street_address']
5730,114499,40.702432,-73.8168484,GEOMETRIC_CENTER,['intersection']
5731,114512,40.6828011,-73.80622040000002,GEOMETRIC_CENTER,['intersection']
5732,114527,40.6778528,-73.8026136,GEOMETRIC_CENTER,['intersection']
5733,114535,40.6407176,-73.7433452,GEOMETRIC_CENTER,['intersection']
5734,114548,40.8644596,-73.81331279999999,GEOMETRIC_CENTER,['intersection']
5735,114582,40.8588811,-73.88591319999999,GEOMETRIC_CENTER,['intersection']
5736,114584,40.6538463,-74.006754,GEOMETRIC_CENTER,['intersection']
5737,114605,40.7280099,-74.0030247,GEOMETRIC_CENTER,['intersection']
